Date,Time,Device Number,Hotel Guest?,AP?,On Property?,Which resort?,Meal Plan?,# Trips,Within past 5 years,Country of Residence,People in group,Relationship,Person 1 gender,person 1 age,person 2 gender,person 2 age,person 3 gender,person 3 age,person 4 gender,person 4 age,person 5 gender,person 5 age,Thrill Rides,Non-Thrill Rides,Indoor Shows,Parades and Fireworks,Meeting Characters,Overall Atmosphere,Plan for the day?,Dining reservations?,Must See attractions?,List,"Wait for ""must see""",Wait for others,
4/27/2011,9:46:00,22,,N,N,,,'2-4,Y,France,4,Family,,,,,,,,,,,Thrill rides,Non-thrill rides,Indoor shows,Parades and fireworks,Meeting characters,Overall atmosphere,Somewhat,N,N,,,30,
4/27/2011,10:27:00,23,,N,Y,Santa Fe,Y,1,,Spain,3,Family,M,35,F,30,M,3,,,,,,Non-thrill rides,,Parades and fireworks,Meeting characters,,None,N,,,,,
4/27/2011,11:25:00,24,,N,Y,Cheyenne,Y,'2-4,Y,France,5,Family,F,32,M,39,,,,,,,Thrill rides,Non-thrill rides,,,,,None,N,Y,,,,
4/27/2011,11:30:00,26,,N,Y,Santa Fe,Y,1,,France,5,Family,M,62,F,60,F,37,F,4,M,32,Thrill rides,Non-thrill rides,,,Meeting characters,,Somewhat,N,Y,Space Mountain,,,
4/27/2011,10:00:00,28,,Y,N,,,'2-4,Y,Germany,4,Friends,F,20,F,19,F,18,F,18,,,Thrill rides,,,,,,Somewhat,N,N,,30,20,
4/27/2011,,32,Y-4/29,N,Y,Newport,Y,'2-4,N,UK,4,Family,M,45,F,42,M,7,F,7,,,,Non-thrill rides,Indoor shows,Parades and fireworks,Meeting characters,Overall atmosphere,Somewhat,Y,,,,,
4/27/2011,9:40:00,34,Y-4/28,N,Y,Cheyenne,N,'2-4,Y,France,4,Family,M,42,F,38,M,11,F,7,,,,Non-thrill rides,Indoor shows,Parades and fireworks,Meeting characters,Overall atmosphere,Not really,N,,,,,
4/27/2011,10:30:00,35,,N,N,,,1,,France,4,Family,,,,,,,,,,,Thrill rides,,,,Meeting characters,Overall atmosphere,Not really,N,N,,,45,
4/27/2011,,36,,Y,Y,Santa Fe,N,,,France,3,Friends,F,38,F,38,F,45,,,,,Thrill rides,Non-thrill rides,Indoor shows,Parades and fireworks,Meeting characters,Overall atmosphere,None,N,Y,,30,60,
4/27/2011,10:20:00,39,,N,Y,New Y ork,N,5+,Y,France,4,Family,F,41,M,45,F,16,F,10,,,Thrill rides,Non-thrill rides,,,,Overall atmosphere,Somewhat,N,Y,Pirates,30,30,
4/27/2011,,40,,,N,,,1,,,3,Family,,,,,,,,,,,Thrill rides,,Indoor shows,Parades and fireworks,,,Not really,N,,,,,
4/27/2011,11:24:00,42,Y-4/28,N,Y,Davy Crockett,N,5+,Y,France,5,Family,F,56,M,42,M,21,M,18,F,17,Thrill rides,Non-thrill rides,Indoor shows,,,Overall atmosphere,Somewhat,N,Y,,30,30,
4/27/2011,10:45:00,42,,Y,N,,,1,,France,4,Family,M,36,F,36,M,6,M,4,,,,Non-thrill rides,Indoor shows,Parades and fireworks,Meeting characters,Overall atmosphere,Somewhat,N,Y,Cars,20,50,
